File Size,Read Type,Scenario,Epoch,Duration (s),Throughput (MB/s),IOPS,GCSFuse Lowest Memory (MB),GCSFuse Highest Memory (MB),GCSFuse Lowest CPU (core),GCSFuse Highest CPU (core),Pod,Start,End
1M,read,local-ssd,4,157,6356,25424,0,0,0.0,0.0,fio-tester-read-1m-256k-local-ssd,2024-03-11 07:04:21 UTC,2024-03-11 07:06:59 UTC
1M,read,gcsfuse-no-file-cache,1,1443,692,2770,4659,4813,0.755,1.7811,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 05:22:07 UTC,2024-03-11 05:46:10 UTC
1M,read,gcsfuse-no-file-cache,2,1327,753,3013,4807,4833,1.32371,1.95481,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 05:51:57 UTC,2024-03-11 06:14:05 UTC
1M,read,gcsfuse-no-file-cache,3,1194,837,3348,4840,4849,1.28411,2.0918,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 06:19:51 UTC,2024-03-11 06:39:46 UTC
1M,read,gcsfuse-no-file-cache,4,1021,978,3915,4846,4852,1.39119,2.42193,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 06:45:35 UTC,2024-03-11 07:02:36 UTC
1M,read,gcsfuse-file-cache,1,1570,636,2547,4617,19455,0.80197,3.43583,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 05:12:20 UTC,2024-03-11 05:38:30 UTC
1M,read,gcsfuse-file-cache,2,171,5845,23382,6646,8678,1.52848,3.69177,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 05:45:24 UTC,2024-03-11 05:48:15 UTC
1M,read,gcsfuse-file-cache,3,172,5786,23146,6704,9232,4.16573,4.78572,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 05:54:52 UTC,2024-03-11 05:57:45 UTC
1M,read,gcsfuse-file-cache,4,173,5771,23085,6725,8663,4.1764,4.63847,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 06:04:24 UTC,2024-03-11 06:07:18 UTC
100M,read,gcsfuse-no-file-cache,1,25393,3938,3938,2161,3082,1.30433,8.32523,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-03-07 13:25:19 UTC,2024-03-07 20:28:29 UTC
100M,read,gcsfuse-no-file-cache,2,1039,4810,4810,360,386,6.50914,9.03899,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:08:44 UTC,2024-02-14 23:26:03 UTC
100M,read,gcsfuse-no-file-cache,3,1140,4385,4385,361,385,7.74706,8.94602,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:26:40 UTC,2024-02-14 23:45:40 UTC
100M,read,gcsfuse-no-file-cache,4,1067,4683,4683,377,388,7.93685,8.98369,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:46:17 UTC,2024-02-15 00:04:05 UTC
